wl,n
1.7764e+01,5.8085e-01
1.7892e+01,5.9316e-01
1.8021e+01,6.1202e-01
1.8150e+01,6.3728e-01
1.8281e+01,6.6916e-01
1.8413e+01,7.0822e-01
1.8546e+01,7.5520e-01
1.8679e+01,8.1103e-01
1.8814e+01,8.7662e-01
1.8949e+01,9.5262e-01
1.9086e+01,1.0390e+00
1.9223e+01,1.1345e+00
1.9362e+01,1.2358e+00
1.9501e+01,1.3371e+00
1.9642e+01,1.4302e+00
1.9783e+01,1.5063e+00
1.9926e+01,1.5577e+00
2.0069e+01,1.5806e+00
2.0214e+01,1.5758e+00
2.0359e+01,1.5474e+00
2.0506e+01,1.5023e+00
2.0654e+01,1.4471e+00
2.0802e+01,1.3885e+00
2.0952e+01,1.3314e+00
2.1103e+01,1.2798e+00
2.1255e+01,1.2361e+00
2.1408e+01,1.2018e+00
2.1562e+01,1.1775e+00
2.1718e+01,1.1632e+00
2.1874e+01,1.1588e+00
2.2032e+01,1.1642e+00
2.2190e+01,1.1791e+00
2.2350e+01,1.2034e+00
2.2511e+01,1.2373e+00
2.2673e+01,1.2810e+00
2.2837e+01,1.3348e+00
2.3001e+01,1.3993e+00
2.3167e+01,1.4750e+00
2.3334e+01,1.5623e+00
2.3502e+01,1.6615e+00
2.3671e+01,1.7726e+00
2.3842e+01,1.8947e+00
2.4013e+01,2.0261e+00
2.4186e+01,2.1637e+00
2.4361e+01,2.3031e+00
2.4536e+01,2.4387e+00
2.4713e+01,2.5642e+00
2.4891e+01,2.6735e+00
2.5070e+01,2.7619e+00
2.5251e+01,2.8268e+00
2.5433e+01,2.8682e+00
2.5616e+01,2.8882e+00
2.5800e+01,2.8909e+00
2.5986e+01,2.8812e+00
2.6173e+01,2.8643e+00
2.6362e+01,2.8453e+00
2.6552e+01,2.8290e+00
2.6743e+01,2.8193e+00
2.6936e+01,2.8196e+00
2.7130e+01,2.8324e+00
2.7325e+01,2.8596e+00
2.7522e+01,2.9025e+00
2.7720e+01,2.9616e+00
2.7920e+01,3.0369e+00
2.8121e+01,3.1279e+00
2.8323e+01,3.2334e+00
2.8527e+01,3.3515e+00
2.8733e+01,3.4797e+00
2.8940e+01,3.6148e+00
2.9148e+01,3.7530e+00
2.9358e+01,3.8900e+00
2.9570e+01,4.0215e+00
2.9783e+01,4.1436e+00
2.9997e+01,4.2527e+00
3.0213e+01,4.3461e+00
3.0431e+01,4.4224e+00
3.0650e+01,4.4809e+00
3.0871e+01,4.5221e+00
3.1093e+01,4.5470e+00
3.1317e+01,4.5572e+00
3.1543e+01,4.5544e+00
3.1770e+01,4.5407e+00
3.1999e+01,4.5178e+00
3.2229e+01,4.4875e+00
3.2462e+01,4.4512e+00
3.2695e+01,4.4103e+00
3.2931e+01,4.3659e+00
3.3168e+01,4.3191e+00
3.3407e+01,4.2707e+00
3.3648e+01,4.2214e+00
3.3890e+01,4.1720e+00
3.4134e+01,4.1231e+00
3.4380e+01,4.0753e+00
3.4628e+01,4.0294e+00
3.4877e+01,3.9860e+00
3.5128e+01,3.9461e+00
3.5381e+01,3.9104e+00
3.5636e+01,3.8801e+00
3.5893e+01,3.8563e+00
3.6151e+01,3.8403e+00
3.6412e+01,3.8334e+00
3.6674e+01,3.8367e+00
3.6938e+01,3.8515e+00
3.7204e+01,3.8784e+00
3.7472e+01,3.9179e+00
3.7742e+01,3.9696e+00
3.8014e+01,4.0325e+00
3.8288e+01,4.1047e+00
3.8564e+01,4.1836e+00
